11.72	8.34	8.13	5.58	10.85
1.49	1.54	0.93	1.96	1.05
3.87	2.73	3.15	3.16	4.3
4.67	4.14	3.55	4.98	3.39
13.72	12.6	15.1	16.93	11.49
0.69	2.03	0.96	1.49	1.01
1	    1.92	0.97	3.02	1.65
1.18	6.11	1.08	4.98	1.43
5.28	6.71	6.94	8.02	10.18
0.52	0.23	0.71	0.24	0
0.11	0.87	0.16	1.32	0
5.24	4.24	5.68	3.6	    5.7
3.08	2.53	3.23	2.55	2.87
6.83	6.8	    6.42	1053	7.02
0.17	0	    0	    0	    0
8.44	7.7	    5.27	2.24	9.97
2.89	1.66	3.03	0.67	2.96
1.11	0.09	0.89	0.02	0.45
6.41	5.68	6.43	6.89	6.19
7.2	    6.11	7.91	6.42	5.48
4.6	    9.37	7.11	5.79	6.97
4.55	2.85	6.05	3.83	3.16
1.05	1.06	1.83	0.84	1.75
0.04	2.34	0.04	1.78	0
0.14	0.2	    0.42	0.05	0
1.09	2.04	0.19	0.05	0
0.47	0.06	0.21	1.21	0.85
